Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,,2 kg ve Altı,Yok,"17,3 inç",DDR4,4 GB ve altı,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T2000,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,DVD Yazıcı,,,32 GB,Gri,512 GB,,,1920 x 1080,,,9750H,9. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-20qr002atx03-p73-i7-9750h-32gb-1tb-512-gb-ssd-windows-10-pro-t2000-17-3-fhd-nb-p-64475789,25.399 TL
,,USB,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,İthalatçı Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,12 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,2 - 3,3150U,3. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//lenovo/amd-ryzen-53500u-2-1-ghz-p-65213686,6.599 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,512 GB,,,1366 x 768,,,7020U,7. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-s145-15ikb-intel-core-i3-7020u-20gb-512gb-ssd-freedos-15-6-81vd00e7tx19-p-64409212,6.999 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,256 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-e14-intel-core-i7-10510u-8gb-256gb-ssd-14-fhd-w10pro-20rbs4mb08-p-64309265,8.949 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,240 GB,,,1920 x 1080,,1 - 2,10510U,10. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/e15-i7-10510u-8gb-1tb-240gb-ssd-20rds03700n7-fdos-15-6-fhd-p-63954925,"11.385,65 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,240 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z10-amd-r7-3700u-12gb-240gb-ssd-fdos-mx230-15-6-fhd-p-65199552,"9.679,87 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Gri,240 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/dizustu-bilgisayar-d509dj-ej119z6-amd-r7-3700u-4gb-240gb-ssd-fdos-mx230-15-6-fhd-p-65195182,"9.207,68 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,240 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/d509dj-ej119z21-amd-r7-3700u-12gb-240gb-ssd-w10p-mx230-15-6-fhd-p-65304228,"10.565,22 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,1 - 2,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/e15-i7-10510u-16gb-1tb-256gb-ssd-20rds03700n13-w10p-15-6-fhd-p-63244745,"12.808,12 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-e14-intel-core-i7-10510u-8gb-1tb-256gb-ssd-rx640-w10-pro-14-fhd-20ras04k00a31-bilgisayar-p-63129365,"13.150,04 TL"
,,,2 - 4 kg,Yok,14 inç,SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,1 GB,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,1 TB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//lenovo/e14-20ra003wtx17-i5-10210u-32gb-1tb-1tbssd-w10p-14-fullhd-tasinabilir-bilgisayar-p-63116479,10.999 TL
,,,2 kg ve Altı,Yok,14 inç,DDR,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Siyah,256 GB,,,1366 x 768,,,N4000,1. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//asus/e410ma-bv185tz1-intel-celeron-n4020-4gb-128-ssd-win10-home-14-p-63305057,"5.534,21 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//dell/g315-4b750f85c10-i7-10750h-16gb-1tb-512ssd-gtx1650ti-freedos-15-6-fhd-tasinabilir-bilgisayar-p-58933215,11.799 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Gri,128 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z5-amd-r7-3700u-4gb-128gb-ssd-fdos-mx230-15-6-fhd-p-65195042,"9.089,63 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,20 GB,Gri,240 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z14-amd-r7-3700u-20gb-240gb-ssd-fdos-mx230-15-6-fhd-p-65305695,"10.152,06 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",SD,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,256 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 9,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119a6-ryzen7-3700u-20gb-256ssd-mx230-15-6-fhd-freedos-tasinabilir-bilgisayar-p-63670889,7.549 TL
,,,2 - 4 kg,Yok,14 inç,SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,256 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//lenovo/e14-20ra003wtx12-i5-10210u-32gb-256ssd-w10p-14-fullhd-tasinabilir-bilgisayar-p-63116442,9.649 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,40 GB,Gri,1 TB,,,1920 x 1080,,,4600U,Ryzen,AMD Ryzen 7,6,Free Dos,,https://www.trendyol.com//lenovo/e15-20t8001utx22-ryzen7-4700u-40gb-1tbssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-65199631,9.599 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,512 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z12-amd-r7-3700u-12gb-512gb-ssd-fdos-mx230-15-6-fhd-p-65213697,"10.034,01 TL"
8 GB,,Bluetooth,2 kg ve Altı,Var,"12,2 inç",DDR,Paylaşımlı,Dahili,Intel Iris Graphics,QHD,İthalatçı Garantili,,Yok,,256 GB,Q İngilizce,Ofis - İş,Yok,,IPS,8 GB,Gri,256 GB,,QHD,2736 x 1824,,1 - 2,1035G4,10. Nesil,Intel Core i5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//microsoft/surface-pro-7-core-i5-1035g4-8gb-ram-256gb-ssd-12-3-win-10-pro-pvr-00001-lisansli-gri-p-65253114,13.499 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,128 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z9-amd-r7-3700u-12gb-128gb-ssd-fdos-mx230-15-6-fhd-p-65199598,"9.561,82 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,20 GB,Gri,256 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z15-amd-r7-3700u-20gb-256gb-ssd-fdos-mx230-15-6-fhd-p-65256446,"10.204,08 TL"
16 GB,HDMI,Bluetooth,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX250,Full HD,Distribütör Garantili,,Var,,512 GB,Q Türkçe,Oyun,Yok,,IPS,16 GB,,512 GB,,Full HD (FHD),1920 x 1080,,4 +,10510U,10. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//monster/huma-laptop-h4-v3-2-1-intel-core-i7-10510u-16gb-512gb-ssd-mx250-windows-10-home-14-1-p-34348193,9.999 TL
,,,2 - 4 kg,Yok,"13,3 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/nb-l13-20r30012tx-i5-10210u-8g-256g-ssd-13-3-win10-pro-p-42100031,9.849 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,,,3500U,Ryzen,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//hp/15-db1049nt-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-freedos-7dw53ea-p-58873132,5.575 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/d509dj-ej119z18-amd-r7-3700u-8gb-512gb-ssd-w10p-mx230-15-6-fhd-dizustu-bilgisayar-p-65257198,"10.683,27 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD Radeon Vega 10,Full HD,Distribütör Garantili,Full HD,Var,,Yok,Q İngilizce,Ev - Okul,Yok,,TN,8 GB,Gri,512 GB,,,1920 x 1080,,,3250U,Ryzen,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-s145-amd-ryzen-7-3700u-8gb-512ssd-15-6fhd-p-65326093,7.499 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,512 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/d509dj-ej119z23-amd-r7-3700u-12gb-512gb-ssd-w10p-mx230-15-6-fhd-p-65305731,"10.919,37 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,4 GB,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,,1366 x 768,,,3050U,3. Nesil,AMD Athlon,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-ip3-15ada05-amd-3050u-4gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-81w100cktx-p-63672021,4.345 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,1 TB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/d509dj-ej119z20-amd-r7-3700u-8gb-1tb-ssd-w10p-mx230-15-6-fhd-p-65304211,"11.391,55 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,20 GB,Gri,512 GB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/d509dj-ej119z27-amd-r7-3700u-20gb-512gb-ssd-w10p-mx230-15-6-fhd-p-65358697,"11.391,55 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,12 GB,Gri,1 TB,,,1920 x 1080,,,3700U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//asus/d509dj-ej119z13-amd-r7-3700u-12gb-1tb-ssd-fdos-mx230-15-6-fhd-p-65305679,"10.742,30 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T1000,Full HD,İthalatçı Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,1 TB,,,1920 x 1200,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//dell/precision-m5550-tr01-i7-10750h-16-gb-tb-ssd-t1000-w10pro-15-6-fhd-tasinabilir-is-istasyonu-p-64570167,21.599 TL
,,,2 - 4 kg,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,,1005G1,10. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//dell/vostro-3501-tkn35dll01rks16-i3-1005g1-32gb-1tb-512ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-p-65007575,6.899 TL
,,,2 - 4 kg,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,1 TB,,,1920 x 1080,,,1005G1,10. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//dell/vostro-3501-tkn35dll01rks11-i3-1005g1-16gb-1tb-1tbssd-15-6-fhd-freedos-tasinabilir-bilgisayar-p-65007579,6.749 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB ve altı,Harici,Nvidia Quadro P520,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,64 GB,Siyah,1 TB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/precision-m3551-p5-intel-core-i5-10300h-64gb-1tb-ssd-p620windows-10-pro-15-6-fhd-nb-p-63104072,14.899 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia Quadro T1000,Full HD,İthalatçı Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,,,10870H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//dell/precision-m7550-intel-core-i7-1850h-16gb-512gb-ssd-t1000-windows-10-pro-15-6-fhd-nb-p-65073553,18.699 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,DVD RW,,TN,8 GB,Siyah,256 GB,,,1366 x 768,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//asus/p2540fa-gq0467-g3-intel-core-i5-10210u-8gb-256gb-ssd-freedos-15-6-p2540fa-gq0467-p-64476839,6.799 TL
32 GB,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Beyaz,512 GB,,,1366 x 768,,1 - 2,10210U,10. Nesil,Intel Core i5,2,Free Dos,3 Saat ve Altı,https://www.trendyol.com//hp/15-da2067nt-intel-core-i5-10210u-32gb-512gb-ssd-mx110-freedos-15-6-tasinabilir-bilgisayar-1s7w8eat8-p-66461261,8.029 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/8xe58ea-15-db1066nt-amd-ryzen-5-3500u-8gb-ddr4-2400-256gb-m2-ssd-15-6-windows-10-silver-notebook-p-37284653,5.859 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB ve altı,Harici,Nvidia Quadro P520,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,1 TB,,,1920 x 1080,,,10870H,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//dell/precision-m3551-r1-intel-core-i7-10850h-16gb-1tb-ssd-p620-windows-10-15-6-fhd-nb-p-63104139,16.999 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,Full HD,Distribütör Garantili,HD Ready,Var,,256 GB,Numerik Tuşlu,Ev - Okul,Yok,DVD Yazıcı,IPS,8 GB,Beyaz,256 GB,,Full HD (FHD),1366 x 768,3.00 GHz üstü,4 +,10110U,10. Nesil,Intel Core i3,2,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-8gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-1s7z6ea-p-47585636,4.995 TL
32 GB,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,Yok,,IPS,16 GB,Gri,500 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,2 - 3,10750H,10. Nesil,Intel Core i7,6,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/huma-h5-v2-1-intel-core-i7-10750h-16gb-500gb-ssd-gtx1650-win10-15-6-fhd-p-59852502,13.499 TL
32 GB,,HDMI,2 kg ve Altı,Yok,"15,6 inç",DDR5,2 GB,Harici,Nvidia GeForce MX230,Full HD,Distribütör Garantili,HD Ready,Var,,512 GB,Q Türkçe,Oyun,Yok,,IPS,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,1 - 2,10210U,10. Nesil,Intel Core i5,4,Linux,6 Saat ve Üstü,https://www.trendyol.com//acer/tmp215-51d-i5-10210-16gb-512ssd-fhd-2gb-mx230-linux-bilgisayar-p-55312447,7.250 TL
4 GB,,HDMI,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,HD Ready,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,,120 GB,,HD Ready (HD),1366 x 768,,1 - 2,5005U,5. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//casper/nirvana-c350-5005-4c00e-intel-core-i3-5005u-4gb-120gb-ssd-windows-10-home-14-tasinabilir-bilgisayar-p-40440829,4.188 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,HD Ready,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,TN,8 GB,Beyaz,256 GB,,,1366 x 768,3.00 GHz üstü,,10210U,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/1s7x5ea-15-da2074nt-i5-10210u-8gb-256gb-ssd-15-6-freedos-mx110-2gb-p-62264474,6.199 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/elitebook-830-g6-6xd22ea-i5-8265u-8gb-256gb-ssd-13-3-windows-10-pro-p-41094088,8.545 TL
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-5401-n4105bpvn5401emea01-i5-1035g1-8gb-256ssd-2gb-freedos-14-fhd-nb-p-48589065,7.499 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,Paylaşımlı,Dahili,Nvidia GeForce MX130,Full HD,Distribütör Garantili,,,,256 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/laptop-15iml05-icorei5-10210u-8gb-256gb-ssd-win-10-15-6-fhd-81wb0087tx-p-66461041,7.999 TL
,,Bluetooth,2 kg ve Altı,Yok,14 inç,DDR,Paylaşımlı,Dahili,Paylaşımlı,HD,Casper Türkiye Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gri,120 GB,,HD Ready (HD),1366 x 768,,1 - 2,N5000,5. Nesil,Intel Pentium,4,Free Dos,,https://www.trendyol.com//casper/nirvana-c350-5000-4c00x-intel-core-pentium-n5000-4gb-ram-120gb-ssd-freedos-p-51163776,"4.069,80 TL"
,,,2 kg ve Altı,,"13,3 inç",,,,Intel HD Graphics,,Distribütör Garantili,,,,,,Ofis - İş,,,,8 GB,Gümüş,256 GB,,,,,,,,Intel Core i3,,Mac Os,,https://www.trendyol.com//apple/macbook-air-intel-core-i3-8gb-256gb-ssd-macos-13-3-tasinabilir-bilgisayar-mwtk2tu-a-gumus-p-38906206,10.399 TL
,,Bluetooth,2 - 4 kg,Yok,"16,1 inç",DDR4,3 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX 1050,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,,2 - 3,10300H,10. Nesil,Intel Core i5,6,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/1y7g6ea-pavilion-gaming-16-a0000nt-i5-10300h-8gb-256ssd-1050ti-16-1-dos-p-66442882,7.999 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Beyaz,512 GB,,,1366 x 768,,1 - 2,10210U,10. Nesil,Intel Core i5,2,Windows,,https://www.trendyol.com//hp/15-da2067nt-intel-core-i5-10210u-4gb-512gb-ssd-mx110-win-10-15-6-tasinabilir-bilgisayar-1s7w8eat11-p-66406732,7.799 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,Yok,,,64 GB,Gri,1 TB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//dell/g315-4b750f85c23-i7-10750h-64gb-1tb-1tbssd-gtx1650ti-freedos-15-6-fhd-tasinabilir-bilgisayar-p-58488992,14.299 TL
32 GB,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX110,HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Beyaz,256 GB,,,1366 x 768,,1 - 2,10210U,10. Nesil,Intel Core i5,2,Windows,3 Saat ve Altı,https://www.trendyol.com//hp/15-da2067nt-intel-core-i5-10210u-4gb-256gb-ssd-mx110-win-10-15-6-tasinabilir-bilgisayar-1s7w8eat10-p-66406656,7.399 TL
,,USB,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,HD,Distribütör Garantili,HD Ready,Var,,128 GB,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gri,128 GB,,HD Ready (HD),1366 x 768,,1 - 2,N4000,2. Nesil,Intel Celeron,2,Windows,4 - 6 Saat,https://www.trendyol.com//lenovo/ideapad-81vu005etx-intel-celeron-n4020-1-1ghz-islemci-4gb-ram-128gb-sdd-14-windows-10-home-p-60040743,4.699 TL
